Search City,Job Title,Company,Location,Job Description,Required Skills,Posted Date,Job URL
Mumbai,Fleet Supervisor,Acko,Mumbai,"Strong analytical and problem-solving skills, with attention to detail and the ability ...",fleet | data management | team management | administration | presentation skills | logistics | problem solving | analysis,3+ weeks ago,https://www.naukri.com/job-listings-fleet-supervisor-acko-mumbai-1-to-3-years-241225503697
Mumbai,Manager - Operations,Movin Express,Mumbai (All Areas)(Bhiwandi),"Maintains updated employee training and certifications to provide a safe, proficient wo...",Operations | Fleet | first mile | Logistics Operations | Supply Chain Operations | Transport Operations | Route Planning | Vehicle Management,1 day ago,https://www.naukri.com/job-listings-manager-operations-movin-express-mumbai-all-areas-10-to-16-years-240626007533
Mumbai,Transport Executive,Euroschool Kharadi,"Mumbai, Hyderabad, Pune, Bengaluru",EuroSchool Kharadi is looking for Transport Executive to join our dynamic team and emba...,fleet | shipment | supply chain | warehouse operations | documentation | logistics | tracking | transportation operations,3+ weeks ago,https://www.naukri.com/job-listings-transport-executive-euroschool-kharadi-mumbai-hyderabad-pune-bengaluru-2-to-5-years-170225504838
Mumbai,Transport Executive,DMart,"Navi Mumbai, Bhiwandi, Dattwadi, Pune",Key Responsibilities: 1. Transport Planning & ExecutionPlan and coordinate daily dispa...,Vehicle Management | Transportation | Transport Operations | Dispatch Planning | Shipment Tracking | Route Planning | Transport Management | Vehicle,3 weeks ago,https://www.naukri.com/job-listings-transport-executive-dmart-bhiwandi-navi-mumbai-dattwadi-pune-3-to-7-years-230725020523
Mumbai,Executive - Transport,Cushman & Wakefield,Mumbai,Plan and coordinate driver schedules and shiftsFlexibility to work in shifts / extended...,Vehicle Management | Route Planning | Gps Tracking | Transport Operations | GPS | Vehicle | Management | Tracking,Just now,https://www.naukri.com/job-listings-executive-transport-cushman-wakefield-mumbai-3-to-5-years-250626022388
Mumbai,Service advisor,Apollo Hospitals,Mumbai,"Provide expert advice on vehicle maintenance, repair, and replacement parts to custome...",repair | advisory services | mechanical engineering | customer service | automobile | automobile service | vehicle maintenance | service engineering,1 week ago,https://www.naukri.com/job-listings-service-advisor-apollo-hospitals-mumbai-1-to-6-years-120626504876
Mumbai,Transport Coordinator- Male,TNT Business Services Pvt Ltd,Mumbai(Marol),Hiring for Transport coordinator / Supply chain coordinator. . Role: Logistics. . Depar...,Transport Management | Transportation | Vehicle Tracking | Dispatch | Supply Chain | Route Planning | Dispatch Planning | Logistics,3+ weeks ago,https://www.naukri.com/job-listings-transport-coordinator-male-tnt-business-services-mumbai-2-to-7-years-250526015102
Mumbai,Transport Executive,Sinotrans India,Mumbai,Sinotrans India Private Limited is looking for Transport Executive to join our dynami...,Vehicle management | Team management | Transport Executive | Safety management | Transport management | Management | Supervision | Logistics,3+ weeks ago,https://www.naukri.com/job-listings-transport-executive-sinotrans-india-private-limited-mumbai-2-to-6-years-190624501522
Mumbai,Service Advisor,For Client of Trevo Innovations Pvt. Ltd.,"Mumbai(Panvel), Navi Mumbai",Graduate preferred. . Candidates must be from Panvel or nearby Location Minimum qualifi...,Spare Parts | Advisory Services | Automobile | Customer Service | Car Service | Automotive Service | Solving Queries | Workshop Management,3 weeks ago,https://www.naukri.com/job-listings-service-advisor-trevo-innovations-mumbai-navi-mumbai-1-to-6-years-030626029823
Mumbai,"Senior Associate, Specialist, Operations, Project Management",DBS Bank,Mumbai,"Employee Status: Full time Core Competencies: . Good problem solving / analytical, plan...",Project management | Analytical | Machine learning | Banking | Data collection | Scheduling | Manager Quality Control | Operations,2 days ago,https://www.naukri.com/job-listings-senior-associate-specialist-operations-project-management-dbs-bank-ltd-mumbai-5-to-7-years-230626502305
Mumbai,Fleet Supervisor,Acko,Mumbai,Job Description Plan and assign daily tasks to the team based on inflow and criticality...,com | sosl | lightning | visualforce | soql | triggers | lighting | apex,3+ weeks ago,https://www.naukri.com/job-listings-fleet-supervisor-acko-general-mumbai-1-to-4-years-260825504558
Mumbai,Transport Executive,Cushman & Wakefield,Mumbai Suburban,Plan and coordinate driver schedules and shiftsFlexibility to work in shifts / extended...,Vehicle Management | Transport Management | Transport Operations | Route Planning | Gps Tracking | Route3 | GPS | Operations,3+ weeks ago,https://www.naukri.com/job-listings-transport-executive-cushman-wakefield-mumbai-suburban-3-to-8-years-260526019495
Mumbai,Duty Manager with CBRE (BKC),CBRE,"Mumbai, Mumbai Suburban, Mumbai (All Areas)","Shift Management: Ensure punctuality, assign jobs, and conduct daily briefings during s...",MEP | Breakdown Maintenance | Report Preparation | AMC | BMS | Vendor Management | Bm | Reporting,6 days ago,https://www.naukri.com/job-listings-duty-manager-with-cbre-bkc-cbre-mumbai-mumbai-suburban-mumbai-all-areas-0-to-6-years-190626016235
Mumbai,Operations Staff - MEC,DHL Supply Chain,Mumbai,Excellent communication and interpersonal skills are necessary for effective collaborat...,application software | project management | shipment | data analysis | process enhancement | logistics | general accounting | general ledger,1 week ago,https://www.naukri.com/job-listings-operations-staff-mec-dhl-global-forwarding-india-mumbai-6-to-8-years-160626503834
Mumbai,Operations Staff - MEC,DHL Supply Chain,Mumbai,Manage and coordinate operational activities to ensure smooth workflow and efficiency....,cost reduction | operations management | training and development | team management | administration | customer service | team handling | hrsd,1 week ago,https://www.naukri.com/job-listings-operations-staff-mec-dhl-global-forwarding-india-mumbai-6-to-11-years-120626505559
Mumbai,Ops Trainer- Associate/Sr Associate,Delhivery,Mumbai (All Areas),"Type: Full Time, Permanent Role. Education UG: Any Graduate. Role: Process Trainer Indu...",Training And Development | Learning And Development | Operations | Training Coordination,1 week ago,https://www.naukri.com/job-listings-ops-trainer-associate-sr-associate-delhivery-mumbai-all-areas-1-to-6-years-120626023359
Mumbai,Executive - Operations,Bottle Lab Technologies,Mumbai,Manage and oversee daily operations to ensure efficiency and productivity. Develop ...,cost reduction | operations management | team management | back office operations | back office | warehouse operations | customer service | logistics,3+ weeks ago,https://www.naukri.com/job-listings-executive-operations-bottle-lab-technologies-pvt-ltd-smartq-mumbai-0-to-2-years-220526504010
Mumbai,Assistant Manager - Operations,K Raheja Corp,Mumbai,Experience in managing and motivating a team of operations staffMinimum 5 years of expe...,Operations | Communication Skills | Leadership | Operations Management | Quality Control | Management | Quality | Control,2 weeks ago,https://www.naukri.com/job-listings-assistant-manager-operations-k-raheja-corp-real-estate-private-limited-mumbai-4-to-7-years-050626923394
Mumbai,Operations & Sales Executive,Hikerwolf,Mumbai,,,Starts in 1-3 months,https://www.naukri.com/job-listings-operations-sales-executive-hikerwolf-mumbai-0-to-3-years-270324500054
Mumbai,Operations Staff - RME,DHL Supply Chain,Mumbai,Experience with process improvement initiatives,data analysis | training and development | process improvement initiatives | customer service | logistics | hrsd | transportation | process improvements,3 weeks ago,https://www.naukri.com/job-listings-operations-staff-rme-dhl-global-forwarding-india-mumbai-6-to-10-years-020626502700
Mumbai,WAREHOUSE EXECUTIVE (Receipts & Dispatch),Blue Dart Express Ltd,Mumbai,Strong attention to detail and ability to maintain accurate records. Disclaimer: This j...,application software | dispatchinventory | operations | shipment | warehouse management | warehouse | communication skills | Dispatch,3+ weeks ago,https://www.naukri.com/job-listings-warehouse-executive-receipts-dispatch-blue-dart-express-ltd-mumbai-2-to-7-years-250326501138
Mumbai,Executive - Warehouse Operations - Contract Logistics,DP World,"Mumbai, Kolkata, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Need to plan required manpower in line with volume fluctuations. 150 plus staff needs t...,Outbound | Operations management | Warehouse | contract logistics | Warehouse Executive | Compliance | Warehouse operations | Inventory,3+ weeks ago,https://www.naukri.com/job-listings-executive-warehouse-operations-contract-logistics-dp-world-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-080825502552
